names,face_shape,skin_tone,hair_length,hair_type,hair_color,lips,eye_color,nose_shape
anderson-cooper,3,0,0,2,4,2,2,1
antonio-banderas,0,3,1,3,0,0,1,1
will-smith,2,4,0,0,0,0,1,4
denzel-washington,0,4,0,0,0,1,1,5
leonardo-dicaprio,2,1,1,2,3,0,2,2
tom-cruise,2,1,0,2,1,1,2,5
gregory-peck,0,1,0,1,1,2,0,3
marlon-brando,1,2,0,2,1,2,1,4
james-dean,0,1,0,1,2,0,3,0
matt-damon,0,1,0,2,3,2,2,2
liam-hemsworth,0,0,0,2,1,0,2,5
